FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
27/01/2019 12:00:00 AM;26/01/2019 10:10:02 PM;4337044;Cor 3 Rojo;L31;Vuelta
27/01/2019 12:00:02 AM;26/01/2019 10:57:14 PM;3710135;Cor 2 Azul;L28;Vuelta
27/01/2019 12:00:04 AM;26/01/2019 11:56:14 PM;6040161;Cor 2 Azul;L27;Ida
27/01/2019 12:00:04 AM;26/01/2019 10:57:14 PM;3710135;Cor 2 Azul;L28;Vuelta
27/01/2019 12:00:05 AM;26/01/2019 11:28:46 PM;5627155;Cor 3 Rojo;L32;Ida
27/01/2019 12:00:06 AM;26/01/2019 10:48:25 PM;5953758;Cor 3 Rojo;L31;Vuelta
27/01/2019 12:00:06 AM;26/01/2019 11:48:17 PM;5557745;Cor 5 Amarillo;L45;Ida
27/01/2019 12:00:07 AM;26/01/2019 10:57:14 PM;3710135;Cor 2 Azul;L28;Vuelta
27/01/2019 12:00:07 AM;26/01/2019 11:28:46 PM;5627155;Cor 3 Rojo;L32;Ida
27/01/2019 12:00:12 AM;26/01/2019 10:57:14 PM;3710135;Cor 2 Azul;L28;Vuelta
27/01/2019 12:00:17 AM;26/01/2019 11:00:13 PM;4856662;TROLE;C;Vuelta
27/01/2019 12:00:18 AM;26/01/2019 11:32:49 PM;4892578;Cor 7 Azul;L70;Ida
27/01/2019 12:00:29 AM;26/01/2019 10:00:09 PM;4598868;Cor 1 Naranja;L11;Vuelta
27/01/2019 12:00:30 AM;26/01/2019 11:08:36 PM;4485782;Cor 1 Naranja;L17;Ida
27/01/2019 12:00:34 AM;26/01/2019 10:53:00 PM;5601703;Cor 2 Azul;L26;Vuelta
27/01/2019 12:00:35 AM;26/01/2019 11:25:18 PM;5823788;Cor 6 Naranja;L62;Ida
27/01/2019 12:00:37 AM;26/01/2019 10:27:30 PM;5323108;Cor 2 Azul;L24;Vuelta
27/01/2019 12:00:39 AM;26/01/2019 10:36:56 PM;6049613;Cor 4 Amarillo;L42;Vuelta
27/01/2019 12:00:41 AM;26/01/2019 10:00:09 PM;5946586;Cor 1 Naranja;L11;Vuelta
27/01/2019 12:00:42 AM;26/01/2019 10:28:26 PM;5457417;Cor 1 Naranja;L18;Vuelta
27/01/2019 12:00:47 AM;26/01/2019 11:03:18 PM;5940360;Cor 1 Naranja;L12;Ida
27/01/2019 12:00:52 AM;26/01/2019 11:54:13 PM;4751353;Cor 1 Naranja;L17;Ida
27/01/2019 12:00:56 AM;26/01/2019 11:54:13 PM;4751353;Cor 1 Naranja;L17;Ida
27/01/2019 12:00:59 AM;26/01/2019 11:16:38 PM;9006775;Cor 6 Naranja;L68;Vuelta
27/01/2019 12:01:12 AM;27/01/2019 12:00:28 AM;5318468;Cor 7 Azul;L74;Ida
27/01/2019 12:01:12 AM;26/01/2019 10:05:25 PM;5106033;Cor 1 Naranja;L14;Vuelta
27/01/2019 12:01:16 AM;27/01/2019 12:00:03 AM;4505667;TROLE;C;Ida
27/01/2019 12:01:16 AM;26/01/2019 10:05:25 PM;5106033;Cor 1 Naranja;L14;Vuelta
27/01/2019 12:01:20 AM;26/01/2019 10:44:08 PM;5956847;Cor 7 Azul;L75;Vuelta
27/01/2019 12:01:22 AM;26/01/2019 10:57:23 PM;5020071;Cor 6 Naranja;L66;Vuelta
